Gene ID	Ensembl Gene ID	Ensembl Transcript ID	Adipose Subcutaneous	Adipose Visceral (Omentum)	Adrenal Gland	Artery Aorta	Artery Coronary	Artery Tibial	Bladder	Brain Amygdala	Brain Anterior cingulate cortex (BA24)	Brain Caudate (basal ganglia)	Brain Cerebellar Hemisphere	Brain Cerebellum	Brain Cortex	Brain Frontal Cortex (BA9)	Brain Hippocampus	Brain Hypothalamus	Brain Nucleus accumbens (basal ganglia)	Brain Putamen (basal ganglia)	Brain Spinal cord (cervical c-1)	Brain Substantia nigra	Breast Mammary Tissue	Cells Cultured fibroblasts	Cells EBV transformed lymphocytes	Cervix Ectocervix	Cervix Endocervix	Colon Sigmoid	Colon Transverse	Esophagus Gastroesophageal Junction	Esophagus Mucosa	Esophagus Muscularis	Fallopian Tube	Heart Atrial Appendage	Heart Left Ventricle	Kidney Cortex	Kidney Medulla	Liver	Lung	Minor Salivary Gland	Muscle Skeletal	Nerve Tibial	Ovary	Pancreas	Pituitary	Prostate	Skin Not Sun Exposed Suprapubic	Skin Sun Exposed Lower leg	Small Intestine Terminal Ileum	Spleen	Stomach	Testis	Thyroid	Uterus	Vagina	Whole Blood
ABCC9	ENSG00000069431.11	ENST00000261200.8	10.95	7.99	1.87	3.66	4.875	7.74	3.69	0	1.665	1.685	0	0	0	1.59	0	0	0	0	0	0	6.4	8.95	0	5.82	6.725	5.27	2.23	9.74	0	8.66	10.15	5.06	5.635	0	3.245	6.395	4.075	2.88	9.38	4.83	4.05	0	1.6	3.29	1.55	2.14	0	0	0	0	5.28	13.045	3.345	0
ABCC9	ENSG00000069431.11	ENST00000326684.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.595	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.18	0	0	0	0	0	0	0	0	0	0	0	0	1.875	0	0
ABCC9	ENSG00000069431.11	ENST00000544039.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AKAP9	ENSG00000127914.16	ENST00000356239.7	2.48	1.62	1.6	2.14	1.985	2.61	2.05	0	0	0	0	4.23	0	0	0	0	0	0	0	0	2.15	3.585	3.3	1.99	2.28	2.32	0	2.59	0	2.39	1.87	0	0	0	0	0	2.04	1.875	2.11	3.95	3.9	0	2.57	0	1.72	1.71	1.79	0	0	1.6	1.95	3.14	1.82	0
AKAP9	ENSG00000127914.16	ENST00000358100.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.525	0	0	0	0	0	0	1.8	1.61	0	0	0	0	0	0	0	0
AKAP9	ENSG00000127914.16	ENST00000394534.6	4.34	3.55	5.46	3.505	3.685	3.7	3.71	0	0	1.675	9.54	9.05	2.28	1.96	0	1.7	2.09	0	2.2	0	4.57	3.27	3.78	5.18	4.775	4.2	5.33	4.59	5.05	3.96	5.05	2.09	1.71	2.2	2.015	2.26	5.11	6.225	4.79	5.77	7.925	2.735	6.82	4.23	4.17	4.29	6.18	3.63	3.95	3.72	5.44	5.455	5.46	0
AKAP9	ENSG00000127914.16	ENST00000435423.1	2.55	0	0	1.575	0	2	0	0	0	0	0	1.87	0	0	0	0	0	0	0	0	2.63	0	1.54	1.7	1.705	1.54	1.625	1.63	0	0	1.66	0	0	0	0	0	1.955	2.565	0	3.36	2.495	0	0	0	2.445	2.55	2.43	0	0	0	1.85	2.19	2.005	0
AKAP9	ENSG00000127914.16	ENST00000486313.1	1.98	2.54	4.825	1.61	2.08	1.57	4.42	2.21	2.615	3	7.99	7.45	3.25	3.09	2.27	3.975	3.7	2.76	2.42	2.88	2.21	2.075	2.83	3.18	4.545	1.97	4.935	2.48	4.16	2.05	1.8	2.38	2.435	3.92	10.51	5.155	3.415	4.225	3.03	3.07	5.45	3.83	8.08	2.98	2.21	1.76	4.36	3.65	4.44	4.16	3.13	3.15	3.4	0
AKAP9	ENSG00000127914.16	ENST00000487258.5	11.86	8.52	10.34	9.44	8.995	9.24	11.3	3.735	4.295	5.445	19.72	18.29	6.27	5.94	4.11	6.07	6.255	4.27	5.29	4.32	13.24	3.92	6.155	14.58	14.605	10.3	13.755	11.03	10.68	9.43	15.29	4.51	3.72	6.37	9.225	11.415	14.615	14.135	6.07	17.46	15.825	7.47	21.49	14.71	14.985	14.77	17.69	14.16	10.31	7.87	15.89	12.085	13.5	0
AKAP9	ENSG00000127914.16	ENST00000493976.1	0	0	0	0	0	0	0	0	0	0	3.5	2.67	0	0	0	0	0	0	0	0	0	0	0	2.09	1.815	0	0	0	0	0	1.61	0	0	0	0	0	1.61	1.66	0	1.89	2.035	0	2.02	0	1.525	0	0	0	0	0	2.05	1.76	1.83	0
ANK2	ENSG00000145362.17	ENST00000357077.8	0	0	0	0	0	0	0	0	0	0	15.92	18.66	2.64	2.31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANK2	ENSG00000145362.17	ENST00000502701.1	3.37	2.39	0	0	0	1.72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.93	0	0	2.7	1.555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.625	0
ANK2	ENSG00000145362.17	ENST00000504415.5	0	0	0	0	0	0	0	0	0	0	1.58	3.08	1.71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANK2	ENSG00000145362.17	ENST00000505342.5	0	0	0	0	0	0	0	13.45	21.87	12.97	37.05	37.22	26.64	32.74	10.83	20.29	20.67	8.58	5.49	8.46	0	0	0	0	0	2.89	0	0	0	0	0	0	0	4.52	8.105	0	0	0	0	1.53	0	0	10.9	0	0	0	0	0	0	1.56	1.82	0	0	0
ANK2	ENSG00000145362.17	ENST00000506344.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.48	2.99	0	0	0	0	0	7.44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANK2	ENSG00000145362.17	ENST00000506722.5	0	0	0	0	0	0	0	3.515	5.255	5.685	2.26	3.43	5.97	6.27	3.73	2.94	6.02	3.88	4.59	3.16	0	0	0	0	0	2.75	0	0	0	1.74	0	2.71	1.535	0	0	0	0	0	3.34	1.96	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANK2	ENSG00000145362.17	ENST00000508613.5	0	0	0	0	0	0	0	0	0	0	2.16	1.95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANK2	ENSG00000145362.17	ENST00000510275.6	0	0	0	0	0	0	0	0	0	0	4.55	3.52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANK2	ENSG00000145362.17	ENST00000511380.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANK2	ENSG00000145362.17	ENST00000514167.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANK2	ENSG00000145362.17	ENST00000514246.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.94	0	0	0	0
