Ensembl Gene ID	Gene ID	Ensembl Transcript ID	Adipose Subcutaneous	Adipose Visceral (Omentum)	Adrenal Gland	Artery Aorta	Artery Coronary	Artery Tibial	Bladder	Brain Amygdala	Brain Anterior cingulate cortex (BA24)	Brain Caudate (basal ganglia)	Brain Cerebellar Hemisphere	Brain Cerebellum	Brain Cortex	Brain Frontal Cortex (BA9)	Brain Hippocampus	Brain Hypothalamus	Brain Nucleus accumbens (basal ganglia)	Brain Putamen (basal ganglia)	Brain Spinal cord (cervical c-1)	Brain Substantia nigra	Breast Mammary Tissue	Cells Cultured fibroblasts	Cells EBV transformed lymphocytes	Cervix Ectocervix	Cervix Endocervix	Colon Sigmoid	Colon Transverse	Esophagus Gastroesophageal Junction	Esophagus Mucosa	Esophagus Muscularis	Fallopian Tube	Heart Atrial Appendage	Heart Left Ventricle	Kidney Cortex	Kidney Medulla	Liver	Lung	Minor Salivary Gland	Muscle Skeletal	Nerve Tibial	Ovary	Pancreas	Pituitary	Prostate	Skin Not Sun Exposed Suprapubic	Skin Sun Exposed Lower leg	Small Intestine Terminal Ileum	Spleen	Stomach	Testis	Thyroid	Uterus	Vagina	Whole Blood
ENSG00000000971.15	CFH	ENST00000359637.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41.69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000000971.15	CFH	ENST00000367429.8	65.94	38.04	19.415	84.325	154.3	128.5	59.85	2.785	2.995	4.33	1.64	1.57	2.78	2.89	3.43	3.49	2.98	4.11	5.33	6.11	28.12	22.025	0	7.9	14.775	10.8	14.02	29.38	17.01	22.25	9.94	85.7	5.83	6.41	4.395	174.65	40.735	65.045	4.39	87.25	74.74	2.25	7.81	10.75	16.875	31.28	26.7	5.87	12.49	4.59	70.31	4.755	9.195	0
ENSG00000000971.15	CFH	ENST00000466229.5	7.59	2.75	0	4.125	9.53	7.75	5.35	0	0	0	0	0	0	0	0	0	0	0	0	0	2.79	0	0	0	0	0	0	2.79	0	1.98	0	5.33	0	0	0	30.1	4.795	6.66	0	13.99	10.98	0	0	1.82	2.09	4.42	2.82	0	0	0	5.94	0	0	0
ENSG00000000971.15	CFH	ENST00000470918.1	5.17	2.17	0	2.97	7.35	4.73	3.45	0	0	0	0	0	0	0	0	0	0	0	0	0	1.95	0	0	0	0	0	0	1.72	0	0	0	3.22	0	0	0	13.885	1.62	6.115	0	5.7	3.695	0	0	0	0	2.39	2.4	0	0	0	3.47	0	0	0
ENSG00000000971.15	CFH	ENST00000496761.1	1.83	0	0	0	2.005	2.28	1.61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.53	0	1.505	0	3.78	4.245	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000000971.15	CFH	ENST00000630130.2	44.92	13.84	3.1	49.89	114.75	122.8	23.39	0	0	0	0	0	0	0	0	0	0	0	0	0	19.04	9.23	0	8.29	9.54	7.11	5.645	16.53	7.85	11.12	9.45	53.86	2.335	0	2.36	25.11	23.19	32.035	2.58	69.8	53.85	0	0	6.43	13.395	28.33	9	0	4.86	3.11	39.01	6.515	8.03	0
ENSG00000001626.14	CFTR	ENST00000003084.10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.28	0	0	0	0	0	0	0	0	0	0	6.115	0	0	0	42.845	0	0	0	0	3.14	0	0	0	0	0	0	0
ENSG00000001626.14	CFTR	ENST00000468795.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.67	0	0	0	2.77	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000001626.14	CFTR	ENST00000621535.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.38	1.88	0	0	0	0	1.57	0	0	0	1.5	0	2.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.67	0	0
ENSG00000003393.14	ALS2	ENST00000264276.10	5.28	4.55	3.125	5.18	4.995	4.62	4.98	2.84	4.07	3.47	82.54	73.48	7.76	7.57	3.67	4.225	3.965	2.91	4.4	3.27	4.85	8.26	2.695	5.57	6.085	5.01	3.39	4.85	2.86	4.69	5.65	5.09	4.685	3.44	4.53	4.2	5.995	3.89	5.4	9.98	4.8	1.66	8.65	4.94	4.43	4.99	4.73	4.03	3.43	5.01	6.05	6.43	4.665	0
