Ensembl Gene ID	Gene ID	Ensembl Transcript ID	Adipose Subcutaneous	Adipose Visceral (Omentum)	Adrenal Gland	Artery Aorta	Artery Coronary	Artery Tibial	Bladder	Brain Amygdala	Brain Anterior cingulate cortex (BA24)	Brain Caudate (basal ganglia)	Brain Cerebellar Hemisphere	Brain Cerebellum	Brain Cortex	Brain Frontal Cortex (BA9)	Brain Hippocampus	Brain Hypothalamus	Brain Nucleus accumbens (basal ganglia)	Brain Putamen (basal ganglia)	Brain Spinal cord (cervical c-1)	Brain Substantia nigra	Breast Mammary Tissue	Cells Cultured fibroblasts	Cells EBV transformed lymphocytes	Cervix Ectocervix	Cervix Endocervix	Colon Sigmoid	Colon Transverse	Esophagus Gastroesophageal Junction	Esophagus Mucosa	Esophagus Muscularis	Fallopian Tube	Heart Atrial Appendage	Heart Left Ventricle	Kidney Cortex	Kidney Medulla	Liver	Lung	Minor Salivary Gland	Muscle Skeletal	Nerve Tibial	Ovary	Pancreas	Pituitary	Prostate	Skin Not Sun Exposed Suprapubic	Skin Sun Exposed Lower leg	Small Intestine Terminal Ileum	Spleen	Stomach	Testis	Thyroid	Uterus	Vagina	Whole Blood
ENSG00000000419.12	DPM1	ENST00000371582.8	0	1.6	1.545	1.645	1.55	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	1.57	4.61	3.57	1.88	2.385	0	0	0	1.69	0	1.91	0	0	0	2.145	0	0	0	0	1.85	2.31	0	0	0	0	0	0	1.9	0	2.97	1.65	2.245	1.805	0
ENSG00000000419.12	DPM1	ENST00000371584.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.85	2.7	0	1.795	0	0	0	0	0	0	0	0	0	1.84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.88	0	1.565	0	0
ENSG00000000419.12	DPM1	ENST00000371588.9	30.58	29.17	34.18	34.58	31.77	34.19	28.75	10.31	12.75	12.47	23.46	19.94	16.29	19.67	11.2	14.725	12.955	10.53	14.07	11.75	30.35	42.995	45.555	32.08	30.99	28.67	25.85	28.31	29.89	29	33.16	19.26	17.045	16.25	23.365	15.46	28.12	25.09	22.68	30.89	28.615	15.425	24.51	26.58	26.9	26.8	26.47	30.04	21.62	37.1	31.14	34.23	30.935	3.8
ENSG00000000419.12	DPM1	ENST00000466152.5	0	0	0	0	0	0	1.87	0	0	0	2.88	2.36	0	0	0	0	0	0	0	0	0	0	0	2.35	0	0	0	0	0	0	1.7	0	0	0	1.575	0	0	0	0	2.42	1.705	0	0	0	0	0	0	0	0	4.75	0	1.59	0	0
ENSG00000003137.8	CYP26B1	ENST00000001146.6	9.26	6.61	0	2.675	2.14	0	0	0	0	0	20.31	17.24	0	0	0	0	0	0	0	0	3.79	0	0	0	1.975	0	0	0	0	0	2.79	1.63	0	1.69	0	0	0	4.13	0	5.39	0	0	3.85	0	10.45	13.43	0	0	0	5.43	7.88	1.655	1.92	0
ENSG00000003137.8	CYP26B1	ENST00000412253.1	1.57	0	0	0	0	0	0	0	0	0	2.75	1.58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0	0	0	0	0
ENSG00000003137.8	CYP26B1	ENST00000461519.1	3.25	2.61	0	1.885	0	0	0	0	0	0	5.07	4.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.405	2.73	0	0	0	3.51	0	0	0	0
ENSG00000003137.8	CYP26B1	ENST00000546307.5	6.69	5.41	0	1.905	1.525	0	0	1.84	1.955	0	9.59	12.15	2.4	3.17	0	0	0	0	0	0	3.49	0	0	0	0	0	0	0	0	0	0	0	0	1.66	0	0	0	1.7	0	3.41	0	0	2.27	0	7.635	8	0	0	0	6.42	2.96	0	0	0
ENSG00000003393.14	ALS2	ENST00000264276.10	5.28	4.55	3.125	5.18	4.995	4.62	4.98	2.84	4.07	3.47	82.54	73.48	7.76	7.57	3.67	4.225	3.965	2.91	4.4	3.27	4.85	8.26	2.695	5.57	6.085	5.01	3.39	4.85	2.86	4.69	5.65	5.09	4.685	3.44	4.53	4.2	5.995	3.89	5.4	9.98	4.8	1.66	8.65	4.94	4.43	4.99	4.73	4.03	3.43	5.01	6.05	6.43	4.665	0
ENSG00000003393.14	ALS2	ENST00000439495.5	0	0	0	0	0	0	0	0	0	0	1.89	2.55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
