Ensembl Gene ID	Gene ID	Ensembl Transcript ID	Adipose Subcutaneous	Adipose Visceral (Omentum)	Adrenal Gland	Artery Aorta	Artery Coronary	Artery Tibial	Bladder	Brain Amygdala	Brain Anterior cingulate cortex (BA24)	Brain Caudate (basal ganglia)	Brain Cerebellar Hemisphere	Brain Cerebellum	Brain Cortex	Brain Frontal Cortex (BA9)	Brain Hippocampus	Brain Hypothalamus	Brain Nucleus accumbens (basal ganglia)	Brain Putamen (basal ganglia)	Brain Spinal cord (cervical c-1)	Brain Substantia nigra	Breast Mammary Tissue	Cells Cultured fibroblasts	Cells EBV transformed lymphocytes	Cervix Ectocervix	Cervix Endocervix	Colon Sigmoid	Colon Transverse	Esophagus Gastroesophageal Junction	Esophagus Mucosa	Esophagus Muscularis	Fallopian Tube	Heart Atrial Appendage	Heart Left Ventricle	Kidney Cortex	Kidney Medulla	Liver	Lung	Minor Salivary Gland	Muscle Skeletal	Nerve Tibial	Ovary	Pancreas	Pituitary	Prostate	Skin Not Sun Exposed Suprapubic	Skin Sun Exposed Lower leg	Small Intestine Terminal Ileum	Spleen	Stomach	Testis	Thyroid	Uterus	Vagina	Whole Blood
ENSG00000000419.12	DPM1	ENST00000371582.8	0	1.6	1.545	1.645	1.55	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	1.57	4.61	3.57	1.88	2.385	0	0	0	1.69	0	1.91	0	0	0	2.145	0	0	0	0	1.85	2.31	0	0	0	0	0	0	1.9	0	2.97	1.65	2.245	1.805	0
ENSG00000000419.12	DPM1	ENST00000371584.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.85	2.7	0	1.795	0	0	0	0	0	0	0	0	0	1.84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.88	0	1.565	0	0
ENSG00000000419.12	DPM1	ENST00000371588.9	30.58	29.17	34.18	34.58	31.77	34.19	28.75	10.31	12.75	12.47	23.46	19.94	16.29	19.67	11.2	14.725	12.955	10.53	14.07	11.75	30.35	42.995	45.555	32.08	30.99	28.67	25.85	28.31	29.89	29	33.16	19.26	17.045	16.25	23.365	15.46	28.12	25.09	22.68	30.89	28.615	15.425	24.51	26.58	26.9	26.8	26.47	30.04	21.62	37.1	31.14	34.23	30.935	3.8
ENSG00000000419.12	DPM1	ENST00000466152.5	0	0	0	0	0	0	1.87	0	0	0	2.88	2.36	0	0	0	0	0	0	0	0	0	0	0	2.35	0	0	0	0	0	0	1.7	0	0	0	1.575	0	0	0	0	2.42	1.705	0	0	0	0	0	0	0	0	4.75	0	1.59	0	0
ENSG00000000971.15	CFH	ENST00000359637.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41.69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000000971.15	CFH	ENST00000367429.8	65.94	38.04	19.415	84.325	154.3	128.5	59.85	2.785	2.995	4.33	1.64	1.57	2.78	2.89	3.43	3.49	2.98	4.11	5.33	6.11	28.12	22.025	0	7.9	14.775	10.8	14.02	29.38	17.01	22.25	9.94	85.7	5.83	6.41	4.395	174.65	40.735	65.045	4.39	87.25	74.74	2.25	7.81	10.75	16.875	31.28	26.7	5.87	12.49	4.59	70.31	4.755	9.195	0
ENSG00000000971.15	CFH	ENST00000466229.5	7.59	2.75	0	4.125	9.53	7.75	5.35	0	0	0	0	0	0	0	0	0	0	0	0	0	2.79	0	0	0	0	0	0	2.79	0	1.98	0	5.33	0	0	0	30.1	4.795	6.66	0	13.99	10.98	0	0	1.82	2.09	4.42	2.82	0	0	0	5.94	0	0	0
ENSG00000000971.15	CFH	ENST00000470918.1	5.17	2.17	0	2.97	7.35	4.73	3.45	0	0	0	0	0	0	0	0	0	0	0	0	0	1.95	0	0	0	0	0	0	1.72	0	0	0	3.22	0	0	0	13.885	1.62	6.115	0	5.7	3.695	0	0	0	0	2.39	2.4	0	0	0	3.47	0	0	0
ENSG00000000971.15	CFH	ENST00000496761.1	1.83	0	0	0	2.005	2.28	1.61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.53	0	1.505	0	3.78	4.245	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000000971.15	CFH	ENST00000630130.2	44.92	13.84	3.1	49.89	114.75	122.8	23.39	0	0	0	0	0	0	0	0	0	0	0	0	0	19.04	9.23	0	8.29	9.54	7.11	5.645	16.53	7.85	11.12	9.45	53.86	2.335	0	2.36	25.11	23.19	32.035	2.58	69.8	53.85	0	0	6.43	13.395	28.33	9	0	4.86	3.11	39.01	6.515	8.03	0
