Ensembl Gene ID	Gene ID	Ensembl Transcript ID	Adipose Subcutaneous	Adipose Visceral (Omentum)	Adrenal Gland	Artery Aorta	Artery Coronary	Artery Tibial	Bladder	Brain Amygdala	Brain Anterior cingulate cortex (BA24)	Brain Caudate (basal ganglia)	Brain Cerebellar Hemisphere	Brain Cerebellum	Brain Cortex	Brain Frontal Cortex (BA9)	Brain Hippocampus	Brain Hypothalamus	Brain Nucleus accumbens (basal ganglia)	Brain Putamen (basal ganglia)	Brain Spinal cord (cervical c-1)	Brain Substantia nigra	Breast Mammary Tissue	Cells Cultured fibroblasts	Cells EBV transformed lymphocytes	Cervix Ectocervix	Cervix Endocervix	Colon Sigmoid	Colon Transverse	Esophagus Gastroesophageal Junction	Esophagus Mucosa	Esophagus Muscularis	Fallopian Tube	Heart Atrial Appendage	Heart Left Ventricle	Kidney Cortex	Kidney Medulla	Liver	Lung	Minor Salivary Gland	Muscle Skeletal	Nerve Tibial	Ovary	Pancreas	Pituitary	Prostate	Skin Not Sun Exposed Suprapubic	Skin Sun Exposed Lower leg	Small Intestine Terminal Ileum	Spleen	Stomach	Testis	Thyroid	Uterus	Vagina	Whole Blood
ENSG00000023445.13	BIRC3	ENST00000263464.7	3.08	3.41	0	2.235	3.1	1.92	2.62	0	0	0	0	0	0	0	0	0	0	0	0	0	2.54	0	50.655	1.87	2.355	4.91	5.395	3.77	1.57	3.8	2.25	1.74	0	2.21	2.165	0	9.775	4.875	0	9.42	0	0	1.56	3.28	2.14	2.13	14.76	11	4.48	1.81	2.03	2.41	2.375	0
ENSG00000023445.13	BIRC3	ENST00000526421.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000023445.13	BIRC3	ENST00000527336.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.56	0	0	0	0	0	0
ENSG00000023445.13	BIRC3	ENST00000532808.5	2.32	2.17	0	0	1.775	0	1.82	0	0	0	0	0	0	0	0	0	0	0	0	0	2.2	0	29.465	1.57	1.925	2.92	4.33	2.78	0	2.58	2.42	0	0	2.74	2.995	0	7.17	3.33	0	6.27	0	0	0	2.06	2.5	2.18	18.85	18.38	5.17	2.22	0	0	0	1.75
ENSG00000102312.21	PORCN	ENST00000326194.10	0	0	0	0	0	0	0	2.72	4.555	3.63	18.4	18.56	7.36	8.62	3.14	4.1	5.815	2.84	0	0	0	0	0	0	0	0	0	0	0	0	0	2.19	2.22	0	0	0	0	0	2.02	0	0	0	2.35	0	0	0	0	0	0	0	0	0	0	0
ENSG00000102312.21	PORCN	ENST00000355961.8	0	0	6.73	0	0	0	0	0	0	0	2.31	2.74	0	0	0	0	0	0	0	0	0	2.53	1.635	0	1.645	0	0	0	0	0	0	1.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.62	0	0	0	0
ENSG00000102312.21	PORCN	ENST00000359882.8	0	0	0	0	0	0	0	0	0	0	3.28	3.13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000102312.21	PORCN	ENST00000361988.7	3.36	2.44	16.825	4.88	3.65	3.66	4.28	0	0	0	0	0	0	0	0	0	0	0	1.55	0	2.9	5.775	2.485	4.96	4.895	4.01	2.21	4.09	4.05	4.26	4.65	0	0	0	1.975	0	3.32	2.6	0	4.33	2.77	0	0	3.14	3.1	3.62	1.66	2.36	1.91	3.83	4.36	5.005	4.04	0
ENSG00000102312.21	PORCN	ENST00000459953.1	0	0	2.015	0	0	0	0	0	0	0	2.74	3.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000102312.21	PORCN	ENST00000472520.5	0	0	2.61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
