Cells EBV transformed lymphocytes,Skin Not Sun Exposed Suprapubic,Skin Sun Exposed Lower leg,Whole Blood
57.4752,94.0585,99.2861,46.0569
0.197842,5.02105,5.40707,597.63
2.28466,32.4658,38.1048,0.248982
0,0,0.0678492,0.0776241
1.65911,40.2251,42.2442,17.7279
1.64734,42.2998,63.2271,0.558443
87.4466,297.706,272.557,6.02904
8.46708,25.5981,23.2992,0.903627
0.0916802,0.487446,0.540159,23.3094
0,0.0510958,0.0442816,0
0.0787099,0.187383,0.225305,0.0720717
56.6079,65.2817,69.645,27.8073
0.343426,0.518472,0.290818,0
41.8063,14.5792,17.3864,22.6355
49.9454,37.1489,40.5784,4.34502
0.0412566,2.20207,2.40731,0.0724073
22.5656,13.201,13.3574,5.57934
1.68263,29.5871,31.8069,18.2392
42.117,21.5801,21.765,13.8164
0.243266,42.6887,52.9668,0.204219
1.0774,1.79985,2.13941,2.69982
24.2445,2.9593,3.16899,2.27946
0.0337492,0.121986,0.183242,209.971
0.529521,19.6272,23.2501,12.9664
0,0.0822396,0.108434,0.0424691
14.2294,6.65923,6.68152,1.35058
5.13025,138.846,115.666,0.0468324
23.7881,57.9954,55.9114,53.0276
21.0305,18.2686,21.0427,7.29145
168.29,76.8481,82.4658,27.9676
100.585,52.6413,53.2195,9.77319
0.0447303,5.91332,5.26054,0.0229284
0.0574107,11.8802,14.8707,0.0500805
0.0634009,5.85007,6.09128,0.0315196
160.366,7.65838,6.60273,37.6955
0.0223985,0.3321,0.50036,0
191.397,123.328,120.275,22.9363
0.508595,0.761578,0.807189,0.0966758
4.43181,8.62068,11.5877,0.500433
0.208124,63.1613,62.6002,0.0127977
10.8395,18.681,18.2724,0.580975
0.0537478,0.417788,0.320159,0.462051
42.0664,51.2807,49.5388,11.7648
21.8447,14.0582,15.8806,5.00874
0.0610682,0.222562,0.208899,0.0226402
16.3174,13.6854,14.049,5.53119
54.6972,14.8193,14.6948,2.10569
47.9005,52.11,52.6536,81.8357
19.3654,9.31785,9.36668,0.593354
13.506,3.70267,3.31964,2.06533
11.0769,8.80923,9.17149,3.33827
1.55626,8.76886,12.1643,1.93723
34.7303,30.536,33.7431,8.00562
20.1513,36.5498,31.6723,11.4529
0,0.1571,0.174441,0
26.5815,17.6542,19.0583,20.2033
0.258232,1.1188,1.09681,0.0609269
0.0865394,0.0584791,0.06694,0.00940054
1.11531,1.71563,2.05343,0.401191
93.0664,27.2031,28.3097,2.93814
56.0944,22.3197,23.2571,17.621
1.6014,92.066,94.0523,6.01272
23.495,107.711,104.858,5.7013
3.88002,5.05135,5.54175,0.0919952
49.7323,17.5935,16.2418,8.40447
37.2838,23.3198,24.4875,21.221
4.58735,3.43257,3.85825,2.082
156.216,51.6464,52.8655,73.2425
1.56244,130.882,155.736,1.34463
84.3842,24.9532,31.2002,758.048
2.21895,183.157,221.108,2.92026
21.0887,14.8802,15.1372,3.60911
27.9564,16.9614,17.8768,4.96559
12.536,8.59617,9.70506,1.93302
38.1677,17.7519,17.1233,3.72922
1.02557,1.34567,1.39212,0.917357
0.0313877,0.0181142,0.0179262,0
3.89916,9.11593,9.11188,1.42917
0.0534101,0.137449,0.169648,0.0451299
0.234528,16.1537,19.7347,0.325968
4.42705,9.35231,12.9379,0.19229
0.0133815,0.164866,0.234964,0.00748358
42.0229,34.2574,36.2615,17.8749
20.0772,0.56131,0.652561,1.41223
5.35737,2.37653,2.61459,0.345479
4.62121,7.97621,8.08475,2.10518
33.2452,30.404,32.4696,11.6203
48.0585,49.6894,49.7199,8.78348
49.8212,5.79723,5.01549,2.07718
8.17193,15.7245,17.8886,6.62048
2.02573,3.44201,3.81898,0.917169
0.52775,114.626,158.617,1.08878
17.2112,14.8254,16.2864,1.37748
1.3505,904.684,619.549,0.244161
12.6187,20.6945,22.7946,8.64515
15.3661,8.82956,8.89694,2.09853
0.287366,0.733631,1.00167,0.0704897
19.2681,8.90376,8.51149,3.01132
162.955,110.669,110.627,62.0984
452.45,361.294,397.065,159.637
0.708754,6.46301,7.33615,1.28298
0.189458,23.6103,26.2272,0.0196504
16.6541,19.6156,19.6626,5.09263
2.55269,1.14985,1.49822,0.485339
0.209098,126.86,145.894,0.311931
4910.02,1665.78,2036.64,13154.6
0.1485,97.7686,109.672,0.0794965
59.1334,13.6707,12.9998,6.79731
431.071,204.887,209.449,113.449
17.0932,7.48602,7.51702,7.78839
38.757,42.4762,41.2286,7.7058
0.120909,28.551,32.4591,1.86264
20.3447,12.8087,12.6233,3.05628
93.9434,76.3416,78.328,19.6692
0.0268089,14.053,10.7725,0.0627142
30.3954,46.8427,42.9072,10.2871
39.479,27.3958,27.3528,15.5696
23.6081,14.7863,17.1561,5.62572
6.74679,25.573,25.1184,5.79761
143.562,28.095,26.6684,13.006
57.1129,66.7877,65.4107,30.8454
50.5812,17.2576,17.5811,6.08359
6.16964,2.67391,2.71083,0.270376
16.8951,1.85126,2.65754,0.0617758
28.5146,20.1141,21.8722,14.2686
8.01954,4.88589,4.86192,1.21792
5.80397,20.671,21.4238,1.37034
0.0644099,12.6552,23.6621,0.0880697
20.1774,16.9435,16.9391,4.99996
58.0455,39.4387,45.0499,39.7857
179.57,201.791,255.976,172.551
