Gene_Ensembl ID,Sample,TPM
DDX11L1,Adipose.Subcutaneous,0
WASH7P,Adipose.Visceral,3.37111
MIR6859-1,Adrenal Gland,0
MIR1302-2HG,Artery.Aorta,0
FAM138A,Artery.Coronary,0
DDX11L1,Adipose.Subcutaneous,0
WASH7P,Adipose.Visceral,0.0407008
MIR6859-1,Adrenal Gland,0.0446407
MIR1302-2HG,Artery.Aorta,0.0214816
FAM138A,Artery.Coronary,0.0376293
DDX11L1,Adipose.Subcutaneous,5.15433
WASH7P,Adipose.Visceral,7.79802
MIR6859-1,Adrenal Gland,0
MIR1302-2HG,Artery.Aorta,0.134715
FAM138A,Artery.Coronary,0
DDX11L1,Adipose.Subcutaneous,0
WASH7P,Adipose.Visceral,0.0597251
MIR6859-1,Adrenal Gland,5.56977
MIR1302-2HG,Artery.Aorta,0
FAM138A,Artery.Coronary,0.555559
DDX11L1,Adipose.Subcutaneous,0.0646951
WASH7P,Adipose.Visceral,0
MIR6859-1,Adrenal Gland,0
MIR1302-2HG,Artery.Aorta,0.194473
FAM138A,Artery.Coronary,0
DDX11L1,Adipose.Subcutaneous,0.0333449
WASH7P,Adipose.Visceral,0
MIR6859-1,Adrenal Gland,0.018901
MIR1302-2HG,Artery.Aorta,0
FAM138A,Artery.Coronary,0.0303768
DDX11L1,Adipose.Subcutaneous,0
WASH7P,Adipose.Visceral,10.2986
MIR6859-1,Adrenal Gland,1024.44
MIR1302-2HG,Artery.Aorta,42.985
FAM138A,Artery.Coronary,12.2361
DDX11L1,Adipose.Subcutaneous,14.3276
WASH7P,Adipose.Visceral,3863.02
MIR6859-1,Adrenal Gland,17.819
MIR1302-2HG,Artery.Aorta,0
FAM138A,Artery.Coronary,0.0308665
DDX11L1,Adipose.Subcutaneous,0
WASH7P,Adipose.Visceral,0.112597
MIR6859-1,Adrenal Gland,1.90193
MIR1302-2HG,Artery.Aorta,0
FAM138A,Artery.Coronary,0
DDX11L1,Adipose.Subcutaneous,0.394613
WASH7P,Adipose.Visceral,0.878975
MIR6859-1,Adrenal Gland,0.871018
MIR1302-2HG,Artery.Aorta,7.79722
FAM138A,Artery.Coronary,3.42482
DDX11L1,Adipose.Subcutaneous,0.0558683
WASH7P,Adipose.Visceral,0.0626518
MIR6859-1,Adrenal Gland,0
MIR1302-2HG,Artery.Aorta,0.159096
FAM138A,Artery.Coronary,0.134465
DDX11L1,Adipose.Subcutaneous,0
WASH7P,Adipose.Visceral,1.67515
MIR6859-1,Adrenal Gland,2.93119
MIR1302-2HG,Artery.Aorta,48.1877
FAM138A,Artery.Coronary,8.96775
DDX11L1,Adipose.Subcutaneous,0.648233
WASH7P,Adipose.Visceral,0.398707
MIR6859-1,Adrenal Gland,3.6845
MIR1302-2HG,Artery.Aorta,24.1876
FAM138A,Artery.Coronary,35.0093
DDX11L1,Adipose.Subcutaneous,0
