Ensembl Gene ID	Gene ID	Ensembl Transcript ID	Adipose Subcutaneous	Adipose Visceral (Omentum)	Adrenal Gland	Artery Aorta	Artery Coronary	Artery Tibial	Bladder	Brain Amygdala	Brain Anterior cingulate cortex (BA24)	Brain Caudate (basal ganglia)	Brain Cerebellar Hemisphere	Brain Cerebellum	Brain Cortex	Brain Frontal Cortex (BA9)	Brain Hippocampus	Brain Hypothalamus	Brain Nucleus accumbens (basal ganglia)	Brain Putamen (basal ganglia)	Brain Spinal cord (cervical c-1)	Brain Substantia nigra	Breast Mammary Tissue	Cells Cultured fibroblasts	Cells EBV transformed lymphocytes	Cervix Ectocervix	Cervix Endocervix	Colon Sigmoid	Colon Transverse	Esophagus Gastroesophageal Junction	Esophagus Mucosa	Esophagus Muscularis	Fallopian Tube	Heart Atrial Appendage	Heart Left Ventricle	Kidney Cortex	Kidney Medulla	Liver	Lung	Minor Salivary Gland	Muscle Skeletal	Nerve Tibial	Ovary	Pancreas	Pituitary	Prostate	Skin Not Sun Exposed Suprapubic	Skin Sun Exposed Lower leg	Small Intestine Terminal Ileum	Spleen	Stomach	Testis	Thyroid	Uterus	Vagina	Whole Blood
ENSG00000000419.12	DPM1	ENST00000371582.8	0	1.6	1.545	1.645	1.55	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	1.57	4.61	3.57	1.88	2.385	0	0	0	1.69	0	1.91	0	0	0	2.145	0	0	0	0	1.85	2.31	0	0	0	0	0	0	1.9	0	2.97	1.65	2.245	1.805	0
ENSG00000000419.12	DPM1	ENST00000371584.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.85	2.7	0	1.795	0	0	0	0	0	0	0	0	0	1.84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.88	0	1.565	0	0
ENSG00000000419.12	DPM1	ENST00000371588.9	30.58	29.17	34.18	34.58	31.77	34.19	28.75	10.31	12.75	12.47	23.46	19.94	16.29	19.67	11.2	14.725	12.955	10.53	14.07	11.75	30.35	42.995	45.555	32.08	30.99	28.67	25.85	28.31	29.89	29	33.16	19.26	17.045	16.25	23.365	15.46	28.12	25.09	22.68	30.89	28.615	15.425	24.51	26.58	26.9	26.8	26.47	30.04	21.62	37.1	31.14	34.23	30.935	3.8
ENSG00000000419.12	DPM1	ENST00000466152.5	0	0	0	0	0	0	1.87	0	0	0	2.88	2.36	0	0	0	0	0	0	0	0	0	0	0	2.35	0	0	0	0	0	0	1.7	0	0	0	1.575	0	0	0	0	2.42	1.705	0	0	0	0	0	0	0	0	4.75	0	1.59	0	0
ENSG00000004455.16	AK2	ENST00000354858.10	39.1	42.74	45.05	39.73	39.95	34.84	40.33	11.04	9.36	11.075	15.43	16.93	10.19	11.96	11.13	14.865	9.71	10.8	29.9	19.24	42.9	54.35	70.215	42.63	48.525	33.2	39.13	30.38	49.71	31.66	40.47	39.89	36.085	48.28	64.865	37.46	34.44	42.975	53.85	39.47	33.91	17.635	28.63	40.21	37.865	37.53	35.32	23.71	30.64	55.63	57.95	43.975	47.36	2.55
ENSG00000004455.16	AK2	ENST00000373449.6	19.29	17.47	14.345	12.84	15.565	13.83	17.46	6.165	5.585	6.83	17.01	16.51	6.06	5.89	6.19	7.5	6.46	6.2	10.52	7.67	20.25	29.855	62.985	20.09	22.12	15.87	20.755	15.26	19.21	14.84	20.52	6.22	4.105	21.03	23.405	16.97	20.515	16.23	7.85	24.9	16.905	5.675	15.17	17.03	17.71	18.39	23.64	20.09	13.1	10.66	27.49	20.445	18.07	6.91
ENSG00000004455.16	AK2	ENST00000467905.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.205	7.14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000004455.16	AK2	ENST00000469238.1	1.5	0	0	0	0	0	0	0	0	0	1.72	2.35	0	0	0	0	0	0	0	0	1.76	0	1.525	2.51	2.205	0	0	0	0	0	1.86	1.61	0	0	1.555	0	1.97	1.67	0	2.33	2.505	0	1.74	1.82	0	1.52	0	0	0	0	3.09	2.01	2.655	0
ENSG00000004455.16	AK2	ENST00000480134.5	4.87	4.76	5.555	3.31	4.175	3.11	2.74	0	0	0	1.58	0	0	0	0	1.54	0	0	2.41	0	5.32	9.115	9.16	2.51	3.01	1.95	4.31	1.84	7.67	2.02	2.74	3.38	3.13	11.98	9.115	5.71	3.74	5.66	0	2.82	1.93	3.645	3.33	3.65	4.205	4.48	4.89	4.66	3.26	0	8.69	2.14	4.53	1.8
ENSG00000004455.16	AK2	ENST00000482191.1	3.36	2.7	4.545	2.825	3.07	3.22	4.5	0	0	1.5	10.02	11.04	2.09	1.76	0	1.92	1.565	0	2.56	1.56	3.91	3.215	3.38	4.47	4.39	3.95	4.41	3.37	2.97	3.45	5.52	1.91	0	4.4	6.25	2.98	3.195	5.605	2.93	4.52	5.095	2.4	6.67	4.5	3.035	3.3	4.45	2.84	3.47	3.6	10.97	5.56	3.955	0
