Gene ID	Ensembl Gene ID	Ensembl Transcript ID	Adipose Subcutaneous	Adipose Visceral (Omentum)	Adrenal Gland	Artery Aorta	Artery Coronary	Artery Tibial	Bladder	Brain Amygdala	Brain Anterior cingulate cortex (BA24)	Brain Caudate (basal ganglia)	Brain Cerebellar Hemisphere	Brain Cerebellum	Brain Cortex	Brain Frontal Cortex (BA9)	Brain Hippocampus	Brain Hypothalamus	Brain Nucleus accumbens (basal ganglia)	Brain Putamen (basal ganglia)	Brain Spinal cord (cervical c-1)	Brain Substantia nigra	Breast Mammary Tissue	Cells Cultured fibroblasts	Cells EBV transformed lymphocytes	Cervix Ectocervix	Cervix Endocervix	Colon Sigmoid	Colon Transverse	Esophagus Gastroesophageal Junction	Esophagus Mucosa	Esophagus Muscularis	Fallopian Tube	Heart Atrial Appendage	Heart Left Ventricle	Kidney Cortex	Kidney Medulla	Liver	Lung	Minor Salivary Gland	Muscle Skeletal	Nerve Tibial	Ovary	Pancreas	Pituitary	Prostate	Skin Not Sun Exposed Suprapubic	Skin Sun Exposed Lower leg	Small Intestine Terminal Ileum	Spleen	Stomach	Testis	Thyroid	Uterus	Vagina	Whole Blood
ABCA1	ENSG00000165029.15	ENST00000374736.7	15.31	13.37	29.465	5.41	8.585	5.58	13.17	2.295	0	4.91	0	0	0	0	1.59	1.635	4.475	3.02	0	2.7	11.32	8.765	0	7.85	6.98	14.66	7.62	9.17	3.43	8.23	9.53	2.11	0	0	2.225	9.845	10.925	4.79	3.79	16.43	6.365	0	1.98	3.56	7.34	8.3	7.16	6.18	3.1	2.98	5.38	6.12	7.025	0
ABCG1	ENSG00000160179.18	ENST00000347800.6	0	0	4.87	0	0	0	0	1.56	0	1.585	0	0	0	0	0	1.63	1.835	1.7	0	2.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.475	0	1.92	0	0	0	0	0	3.21	0	0	1.6	0	5.92	0	0	0	0	0	0
ABCG1	ENSG00000160179.18	ENST00000361802.6	8.37	5.48	9.865	1.755	2.555	1.52	2.96	1.525	0	1.705	3.02	3.07	1.53	0	1.54	0	1.785	2	0	1.6	6.85	0	0	1.54	1.71	2.75	3.425	2.94	0	2.74	2.85	0	0	0	1.765	0	11.275	4.955	3.88	3.71	0	0	3.06	1.73	5.215	7.89	5.96	4.21	1.94	0	3.34	1.505	1.705	1.79
ABCG1	ENSG00000160179.18	ENST00000398449.7	3.35	4.04	14.04	0	2.49	0	3.97	0	0	2.39	3.89	4.32	1.61	0	0	0	1.93	0	0	0	3.24	0	0	0	2.2	2.79	3.795	3.35	0	3.09	0	0	0	0	3.015	0	7.685	5.67	0	2.78	0	0	4.06	2.5	2.515	3.41	4.41	9.95	2	0	3.84	1.66	1.935	0
ABCG1	ENSG00000160179.18	ENST00000472587.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.39	0	0	0	0	0	0
ABCG1	ENSG00000160179.18	ENST00000496783.1	1.77	0	1.515	0	0	0	0	0	0	0	2	1.86	0	0	0	0	0	0	0	0	1.55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.755	0	0	0	0	0	1.88	0	0	0	0	2.63	0	0	0	0	0	0
ADCY3	ENSG00000138031.14	ENST00000260600.9	7.08	5.67	0	3.34	3.455	4.57	2.76	0	0	0	4.21	4.86	1.67	1.51	0	0	0	0	0	0	5.45	2.9	2.34	5.67	6.87	2.16	1.65	3.42	1.75	3.31	6.29	0	0	0	0	0	4.01	0	0	13.34	5.52	0	2.8	2.92	2.46	3.13	2.34	1.58	0	0	3.7	6.995	3.89	0
ADCY3	ENSG00000138031.14	ENST00000405392.5	21.62	20.43	2.945	9.76	10.47	13.5	10.22	2.84	3.825	6.005	8.97	10.12	6.39	5.55	2.65	4.165	6.195	4.05	3.73	2.97	18.4	16.395	15.84	15.35	18.685	5.93	5.72	10.12	5.75	9.55	19.85	4.12	2.845	1.9	4.36	0	10.73	5.16	1.75	32.55	17.335	0	8.22	8.85	7.305	8.99	7.72	4.49	3.11	2.41	11.07	18.155	10.82	0
ADCY3	ENSG00000138031.14	ENST00000433852.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADCY3	ENSG00000138031.14	ENST00000435135.5	4.6	4.06	0	2.065	2.055	3.01	2.09	0	0	0	1.81	2.02	0	0	0	0	0	0	0	0	3.65	4.33	2.34	2.82	4.03	0	0	2.05	0	2	4.95	0	0	0	0	0	2.335	0	0	6.72	3.585	0	0	0	0	1.89	0	0	0	0	2.26	3.84	2.13	0
ADCY3	ENSG00000138031.14	ENST00000450524.1	5.9	5.2	0	1.92	2.195	2.48	2.06	0	0	1.54	1.95	3.05	2.39	0	0	0	1.745	0	0	0	5.02	1.795	7.815	5.74	6.6	0	1.745	2.42	1.89	2.34	5.38	0	0	0	2.84	0	3.505	0	0	9.04	5.065	0	2.91	2.32	2.13	2.76	2.76	3.01	0	0	2.57	4.365	3.185	0
ADCY3	ENSG00000138031.14	ENST00000485887.1	19.15	16.38	2.25	6.45	7.465	8.8	7.65	0	1.77	3.315	8.97	11.25	4.54	2.79	1.72	1.935	3.35	2.33	2.39	2.24	15.71	3.89	11.39	17.83	16.98	4.23	4.59	7.14	4.82	6.84	13.35	2.94	2.1	2.27	3.47	0	10.585	3.945	0	34.86	15.45	0	8.33	8.68	7.27	9.16	7.89	8.3	2.92	1.96	8.52	14.44	11.1	0
ADCY3	ENSG00000138031.14	ENST00000498288.1	28.26	30.21	4.935	9.99	13.965	12.07	13.81	6.665	8.105	19.55	11.89	12.39	11.86	10.31	7.78	10.36	15.665	16.62	7.69	7.82	24.96	6.345	12.355	28.75	27.7	6.89	7.48	10.91	8.04	10.39	23.66	5.66	3.79	5.17	8.885	0	14.99	6.04	1.89	54.89	23.73	2.2	18.87	15.83	11.165	12.76	11.19	13.09	5.27	4.04	13.38	22.62	17.675	0
ADCY3	ENSG00000138031.14	ENST00000606682.5	14.28	16.07	3	6.365	7.72	7.94	7.69	3.72	4.655	9.855	6.56	7.41	7.9	6.62	4.25	6.02	9.445	7.53	4.37	4.43	13.56	7.44	14.01	15.24	17.495	4.41	4.4	6.83	4.62	6.62	14.93	3.07	2.13	2.56	6.565	0	8.84	3.6	0	26.87	14.52	0	10.4	8.61	5.765	6.55	6.28	7.19	2.64	2.78	8.37	13.12	10.09	0
ADIPOQ	ENSG00000181092.9	ENST00000320741.6	227.8	193.3	0	0	7.98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75.22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.865	0	7.16	0	0	0	0	0	2	0	0	0	0	0	0	0	0
ADIPOQ	ENSG00000181092.9	ENST00000444204.2	3.58	3.81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
