Ensembl Gene ID	Gene ID	Ensembl Transcript ID	Adipose Subcutaneous	Adipose Visceral (Omentum)	Adrenal Gland	Artery Aorta	Artery Coronary	Artery Tibial	Bladder	Brain Amygdala	Brain Anterior cingulate cortex (BA24)	Brain Caudate (basal ganglia)	Brain Cerebellar Hemisphere	Brain Cerebellum	Brain Cortex	Brain Frontal Cortex (BA9)	Brain Hippocampus	Brain Hypothalamus	Brain Nucleus accumbens (basal ganglia)	Brain Putamen (basal ganglia)	Brain Spinal cord (cervical c-1)	Brain Substantia nigra	Breast Mammary Tissue	Cells Cultured fibroblasts	Cells EBV transformed lymphocytes	Cervix Ectocervix	Cervix Endocervix	Colon Sigmoid	Colon Transverse	Esophagus Gastroesophageal Junction	Esophagus Mucosa	Esophagus Muscularis	Fallopian Tube	Heart Atrial Appendage	Heart Left Ventricle	Kidney Cortex	Kidney Medulla	Liver	Lung	Minor Salivary Gland	Muscle Skeletal	Nerve Tibial	Ovary	Pancreas	Pituitary	Prostate	Skin Not Sun Exposed Suprapubic	Skin Sun Exposed Lower leg	Small Intestine Terminal Ileum	Spleen	Stomach	Testis	Thyroid	Uterus	Vagina	Whole Blood
ENSG00000000419.12	DPM1	ENST00000371582.8	0	1.6	1.545	1.645	1.55	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	1.57	4.61	3.57	1.88	2.385	0	0	0	1.69	0	1.91	0	0	0	2.145	0	0	0	0	1.85	2.31	0	0	0	0	0	0	1.9	0	2.97	1.65	2.245	1.805	0
ENSG00000000419.12	DPM1	ENST00000371584.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.85	2.7	0	1.795	0	0	0	0	0	0	0	0	0	1.84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.88	0	1.565	0	0
ENSG00000000419.12	DPM1	ENST00000371588.9	30.58	29.17	34.18	34.58	31.77	34.19	28.75	10.31	12.75	12.47	23.46	19.94	16.29	19.67	11.2	14.725	12.955	10.53	14.07	11.75	30.35	42.995	45.555	32.08	30.99	28.67	25.85	28.31	29.89	29	33.16	19.26	17.045	16.25	23.365	15.46	28.12	25.09	22.68	30.89	28.615	15.425	24.51	26.58	26.9	26.8	26.47	30.04	21.62	37.1	31.14	34.23	30.935	3.8
ENSG00000000419.12	DPM1	ENST00000466152.5	0	0	0	0	0	0	1.87	0	0	0	2.88	2.36	0	0	0	0	0	0	0	0	0	0	0	2.35	0	0	0	0	0	0	1.7	0	0	0	1.575	0	0	0	0	2.42	1.705	0	0	0	0	0	0	0	0	4.75	0	1.59	0	0
ENSG00000004864.13	SLC25A13	ENST00000265631.9	8.19	7.85	11.115	4.52	6.385	6.58	6.91	2.475	2.095	3.055	3.55	3.75	2.32	2.28	3.25	4.44	2.325	2.95	11.95	5.71	8.02	5.43	8.615	7.91	9.405	5.67	9.21	5.55	7.49	5.58	8.72	3.19	2.23	7.95	8.86	26.335	8.325	6.46	2.88	9.05	7.31	3.16	8.68	8.15	9.345	10.89	9.34	9.09	6.06	6.98	8.92	7.1	7.545	0
ENSG00000004864.13	SLC25A13	ENST00000472162.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.61	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000004864.13	SLC25A13	ENST00000492869.1	1.56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.865	1.71	0	0	1.61	0	0	0	0	1.68	1.82	0	0	0	0	0	0	0	0
ENSG00000004864.13	SLC25A13	ENST00000494085.1	2.01	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.8	0	0	0	1.65	0	0	0	0	0	2.47	0	0	0	0	2.02	2.25	0	0	1.94	1.62	0	1.64	1.56	2.525	3.01	1.71	2.45	0	0	1.81	1.515	0	0
ENSG00000005339.14	CREBBP	ENST00000262367.9	14.8	11.19	7.195	16.21	13.08	18.07	15.93	3.96	4.91	4.84	21.34	23.96	7.93	6.51	4.04	4.565	5.135	3.99	4.1	3.53	13.93	8.485	8.825	16.92	21.79	15.73	10.74	14.62	9.69	14.13	17.93	5.68	4.055	4.72	5.885	4.475	12.945	10.68	9.18	17.98	20.19	4.82	11.05	13.22	15.68	16.83	13.06	14.42	7.32	16.17	17.87	23.495	15.2	4.74
ENSG00000005339.14	CREBBP	ENST00000382070.7	0	0	0	0	0	1.53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.83	3.085	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.7	0	0	0	0
