Ensembl Gene ID	Gene ID	Ensembl Transcript ID	Adipose Subcutaneous	Adipose Visceral (Omentum)	Adrenal Gland	Artery Aorta	Artery Coronary	Artery Tibial	Bladder	Brain Amygdala	Brain Anterior cingulate cortex (BA24)	Brain Caudate (basal ganglia)	Brain Cerebellar Hemisphere	Brain Cerebellum	Brain Cortex	Brain Frontal Cortex (BA9)	Brain Hippocampus	Brain Hypothalamus	Brain Nucleus accumbens (basal ganglia)	Brain Putamen (basal ganglia)	Brain Spinal cord (cervical c-1)	Brain Substantia nigra	Breast Mammary Tissue	Cells Cultured fibroblasts	Cells EBV transformed lymphocytes	Cervix Ectocervix	Cervix Endocervix	Colon Sigmoid	Colon Transverse	Esophagus Gastroesophageal Junction	Esophagus Mucosa	Esophagus Muscularis	Fallopian Tube	Heart Atrial Appendage	Heart Left Ventricle	Kidney Cortex	Kidney Medulla	Liver	Lung	Minor Salivary Gland	Muscle Skeletal	Nerve Tibial	Ovary	Pancreas	Pituitary	Prostate	Skin Not Sun Exposed Suprapubic	Skin Sun Exposed Lower leg	Small Intestine Terminal Ileum	Spleen	Stomach	Testis	Thyroid	Uterus	Vagina	Whole Blood
ENSG00000000419.12	DPM1	ENST00000371582.8	0	1.6	1.545	1.645	1.55	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	1.57	4.61	3.57	1.88	2.385	0	0	0	1.69	0	1.91	0	0	0	2.145	0	0	0	0	1.85	2.31	0	0	0	0	0	0	1.9	0	2.97	1.65	2.245	1.805	0
ENSG00000000419.12	DPM1	ENST00000371584.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.85	2.7	0	1.795	0	0	0	0	0	0	0	0	0	1.84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.88	0	1.565	0	0
ENSG00000000419.12	DPM1	ENST00000371588.9	30.58	29.17	34.18	34.58	31.77	34.19	28.75	10.31	12.75	12.47	23.46	19.94	16.29	19.67	11.2	14.725	12.955	10.53	14.07	11.75	30.35	42.995	45.555	32.08	30.99	28.67	25.85	28.31	29.89	29	33.16	19.26	17.045	16.25	23.365	15.46	28.12	25.09	22.68	30.89	28.615	15.425	24.51	26.58	26.9	26.8	26.47	30.04	21.62	37.1	31.14	34.23	30.935	3.8
ENSG00000000419.12	DPM1	ENST00000466152.5	0	0	0	0	0	0	1.87	0	0	0	2.88	2.36	0	0	0	0	0	0	0	0	0	0	0	2.35	0	0	0	0	0	0	1.7	0	0	0	1.575	0	0	0	0	2.42	1.705	0	0	0	0	0	0	0	0	4.75	0	1.59	0	0
ENSG00000003393.14	ALS2	ENST00000264276.10	5.28	4.55	3.125	5.18	4.995	4.62	4.98	2.84	4.07	3.47	82.54	73.48	7.76	7.57	3.67	4.225	3.965	2.91	4.4	3.27	4.85	8.26	2.695	5.57	6.085	5.01	3.39	4.85	2.86	4.69	5.65	5.09	4.685	3.44	4.53	4.2	5.995	3.89	5.4	9.98	4.8	1.66	8.65	4.94	4.43	4.99	4.73	4.03	3.43	5.01	6.05	6.43	4.665	0
ENSG00000003393.14	ALS2	ENST00000439495.5	0	0	0	0	0	0	0	0	0	0	1.89	2.55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000003393.14	ALS2	ENST00000467448.5	1.92	1.52	0	1.92	1.58	1.79	1.59	0	0	0	3.42	2.61	0	0	0	0	0	0	0	0	1.84	2.09	1.64	0	0	0	0	0	0	0	1.75	0	0	0	0	0	0	0	0	2.21	0	0	0	0	1.54	1.62	0	0	0	1.9	0	1.58	0	0
ENSG00000003393.14	ALS2	ENST00000482891.5	0	0	0	0	0	0	0	0	0	0	4.01	3.97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000004399.12	PLXND1	ENST00000324093.8	28.2	22.84	6.735	16.69	23.76	18.71	11.39	3.09	4.35	3.445	0	1.84	6.51	5.34	2.75	2.855	2.485	3.08	7.94	4.96	20.94	20.235	0	15.61	21.83	8.06	6.12	9.83	3.64	9.3	16.28	7.84	5.235	4.2	5.12	0	27.15	5.36	2.42	24.42	5.3	2.035	4.41	8.19	4.585	5.76	8.8	11.08	4.24	3.18	16.67	21.435	11.3	1.53
ENSG00000004399.12	PLXND1	ENST00000501038.6	6.77	5.34	2.9	3.485	4.8	3.15	2.94	0	0	0	0	0	2.35	1.54	0	0	0	0	2.62	1.66	4.57	1.92	0	6.82	10.165	2.09	1.745	2.52	0	2.33	4.44	2.57	1.915	3.11	4.685	1.53	9.36	1.53	0	8.43	2.28	0	2.85	4.22	1.56	1.74	2.31	7.77	0	2.31	5.12	6.04	4.95	0
