Ensembl Gene ID	Gene ID	Ensembl Transcript ID	Adipose Subcutaneous	Adipose Visceral (Omentum)	Adrenal Gland	Artery Aorta	Artery Coronary	Artery Tibial	Bladder	Brain Amygdala	Brain Anterior cingulate cortex (BA24)	Brain Caudate (basal ganglia)	Brain Cerebellar Hemisphere	Brain Cerebellum	Brain Cortex	Brain Frontal Cortex (BA9)	Brain Hippocampus	Brain Hypothalamus	Brain Nucleus accumbens (basal ganglia)	Brain Putamen (basal ganglia)	Brain Spinal cord (cervical c-1)	Brain Substantia nigra	Breast Mammary Tissue	Cells Cultured fibroblasts	Cells EBV transformed lymphocytes	Cervix Ectocervix	Cervix Endocervix	Colon Sigmoid	Colon Transverse	Esophagus Gastroesophageal Junction	Esophagus Mucosa	Esophagus Muscularis	Fallopian Tube	Heart Atrial Appendage	Heart Left Ventricle	Kidney Cortex	Kidney Medulla	Liver	Lung	Minor Salivary Gland	Muscle Skeletal	Nerve Tibial	Ovary	Pancreas	Pituitary	Prostate	Skin Not Sun Exposed Suprapubic	Skin Sun Exposed Lower leg	Small Intestine Terminal Ileum	Spleen	Stomach	Testis	Thyroid	Uterus	Vagina	Whole Blood
ENSG00000000419.12	DPM1	ENST00000371582.8	0	1.6	1.545	1.645	1.55	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	1.57	4.61	3.57	1.88	2.385	0	0	0	1.69	0	1.91	0	0	0	2.145	0	0	0	0	1.85	2.31	0	0	0	0	0	0	1.9	0	2.97	1.65	2.245	1.805	0
ENSG00000000419.12	DPM1	ENST00000371584.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.85	2.7	0	1.795	0	0	0	0	0	0	0	0	0	1.84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.88	0	1.565	0	0
ENSG00000000419.12	DPM1	ENST00000371588.9	30.58	29.17	34.18	34.58	31.77	34.19	28.75	10.31	12.75	12.47	23.46	19.94	16.29	19.67	11.2	14.725	12.955	10.53	14.07	11.75	30.35	42.995	45.555	32.08	30.99	28.67	25.85	28.31	29.89	29	33.16	19.26	17.045	16.25	23.365	15.46	28.12	25.09	22.68	30.89	28.615	15.425	24.51	26.58	26.9	26.8	26.47	30.04	21.62	37.1	31.14	34.23	30.935	3.8
ENSG00000000419.12	DPM1	ENST00000466152.5	0	0	0	0	0	0	1.87	0	0	0	2.88	2.36	0	0	0	0	0	0	0	0	0	0	0	2.35	0	0	0	0	0	0	1.7	0	0	0	1.575	0	0	0	0	2.42	1.705	0	0	0	0	0	0	0	0	4.75	0	1.59	0	0
ENSG00000001084.10	GCLC	ENST00000229416.10	8.91	7.09	8.5	4.69	5.04	5.29	19.46	6.17	5.75	8.74	5.13	4.19	6.25	7.51	5.99	6.75	8.365	7.7	9.09	8.13	7.86	5.5	5.05	5.65	6.045	11.94	9.43	10.63	12.79	13.16	6.43	2.38	2.35	3.66	3.345	9.25	5.01	7.815	3.11	5.32	3.725	2.9	4.03	8.82	7.27	6.95	13.44	13.18	8.5	3.96	8.79	6.05	10.12	0
ENSG00000001084.10	GCLC	ENST00000504353.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.51	0	0	0	0	0	0	1.74	1.73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.91	0	0	1.74	0	0	0	0
ENSG00000001084.10	GCLC	ENST00000509541.5	3.31	2.15	2.13	0	0	0	4.73	0	0	2.07	2.93	3.1	1.88	0	1.63	0	2.04	1.58	2.17	1.55	3.01	0	0	2.64	3.08	3.6	3.275	3.17	3.87	3.01	3.39	0	0	0	0	6.63	2.825	3.04	0	3.38	2.92	1.965	3.54	6.62	2.785	2.29	5.16	6.07	3.18	2.91	5.49	2.67	4.54	0
ENSG00000001084.10	GCLC	ENST00000510837.5	1.68	0	0	0	0	0	3.95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.88	1.66	1.96	0	0	2.15	1.56	0	0	0	0	0	1.525	1.91	1.615	0	1.9	0	0	0	2.25	1.65	0	0	0	0	0	2.25	0	3.51	0
ENSG00000001084.10	GCLC	ENST00000515580.1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.84	0	0	0	0	0	0	1.65	0	1.815	0
ENSG00000003393.14	ALS2	ENST00000264276.10	5.28	4.55	3.125	5.18	4.995	4.62	4.98	2.84	4.07	3.47	82.54	73.48	7.76	7.57	3.67	4.225	3.965	2.91	4.4	3.27	4.85	8.26	2.695	5.57	6.085	5.01	3.39	4.85	2.86	4.69	5.65	5.09	4.685	3.44	4.53	4.2	5.995	3.89	5.4	9.98	4.8	1.66	8.65	4.94	4.43	4.99	4.73	4.03	3.43	5.01	6.05	6.43	4.665	0
