Ensembl Gene ID	Gene ID	Ensembl Transcript ID	Adipose Subcutaneous	Adipose Visceral (Omentum)	Adrenal Gland	Artery Aorta	Artery Coronary	Artery Tibial	Bladder	Brain Amygdala	Brain Anterior cingulate cortex (BA24)	Brain Caudate (basal ganglia)	Brain Cerebellar Hemisphere	Brain Cerebellum	Brain Cortex	Brain Frontal Cortex (BA9)	Brain Hippocampus	Brain Hypothalamus	Brain Nucleus accumbens (basal ganglia)	Brain Putamen (basal ganglia)	Brain Spinal cord (cervical c-1)	Brain Substantia nigra	Breast Mammary Tissue	Cells Cultured fibroblasts	Cells EBV transformed lymphocytes	Cervix Ectocervix	Cervix Endocervix	Colon Sigmoid	Colon Transverse	Esophagus Gastroesophageal Junction	Esophagus Mucosa	Esophagus Muscularis	Fallopian Tube	Heart Atrial Appendage	Heart Left Ventricle	Kidney Cortex	Kidney Medulla	Liver	Lung	Minor Salivary Gland	Muscle Skeletal	Nerve Tibial	Ovary	Pancreas	Pituitary	Prostate	Skin Not Sun Exposed Suprapubic	Skin Sun Exposed Lower leg	Small Intestine Terminal Ileum	Spleen	Stomach	Testis	Thyroid	Uterus	Vagina	Whole Blood
ENSG00000004399.12	PLXND1	ENST00000324093.8	28.2	22.84	6.735	16.69	23.76	18.71	11.39	3.09	4.35	3.445	0	1.84	6.51	5.34	2.75	2.855	2.485	3.08	7.94	4.96	20.94	20.235	0	15.61	21.83	8.06	6.12	9.83	3.64	9.3	16.28	7.84	5.235	4.2	5.12	0	27.15	5.36	2.42	24.42	5.3	2.035	4.41	8.19	4.585	5.76	8.8	11.08	4.24	3.18	16.67	21.435	11.3	1.53
ENSG00000004399.12	PLXND1	ENST00000501038.6	6.77	5.34	2.9	3.485	4.8	3.15	2.94	0	0	0	0	0	2.35	1.54	0	0	0	0	2.62	1.66	4.57	1.92	0	6.82	10.165	2.09	1.745	2.52	0	2.33	4.44	2.57	1.915	3.11	4.685	1.53	9.36	1.53	0	8.43	2.28	0	2.85	4.22	1.56	1.74	2.31	7.77	0	2.31	5.12	6.04	4.95	0
ENSG00000004399.12	PLXND1	ENST00000503166.1	2.32	2.34	0	0	1.905	0	1.59	0	0	0	0	0	0	0	0	0	0	0	0	0	1.94	0	0	4.47	2.465	0	0	0	0	0	2.4	0	0	0	1.545	0	3.78	0	0	3.66	0	0	0	0	0	0	0	1.7	0	0	2.19	2.96	2.025	0
ENSG00000004399.12	PLXND1	ENST00000504524.5	42.62	38.41	19.33	20.77	36.715	18.45	16.15	7.57	8.685	5.135	2.02	3.14	12.19	9.67	6.59	7.815	4.12	5.63	18.65	12.25	33.65	18.225	0	35.43	35.065	12.06	10.925	15.14	6.89	13.79	27.37	13	9.79	13.74	18.505	5.295	47.705	8.88	3.29	40.23	8.825	3.93	10.62	16.89	10.175	11.16	17.25	43.58	8.37	9.14	24.7	29.16	21.105	4.11
ENSG00000004399.12	PLXND1	ENST00000504689.1	0	1.97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.78	2.03	0	1.9	0	1.55	2.07	0	0	0	0	0	2.31	0	0	0	2.14	0	0	0	0	1.81	0	0	0	0	0	0	0	0	0	0	0	1.6	0	0
ENSG00000004399.12	PLXND1	ENST00000504767.5	2.97	2.49	0	1.62	2.11	1.5	1.66	0	0	0	0	0	0	0	0	0	0	0	0	0	2.28	0	0	1.99	2.395	0	0	0	0	0	1.74	0	0	0	0	0	3.94	0	0	2.84	0	0	0	0	0	0	0	0	0	0	2.08	2.535	1.92	0
ENSG00000004399.12	PLXND1	ENST00000504979.1	5.9	3.44	1.54	2.545	3.95	2.47	2.55	0	0	0	0	0	0	0	0	0	0	0	1.86	0	4.4	0	0	5.78	4.225	1.65	0	1.97	0	1.85	3.81	1.91	0	0	0	0	7.09	1.575	0	7.92	0	0	0	2.07	0	0	2.01	3.11	0	0	3.97	4.305	3.095	0
ENSG00000004399.12	PLXND1	ENST00000506979.1	26.59	26.03	9.81	15.675	24.52	16.13	11.66	3.745	4.54	3.205	0	1.92	7.72	5.82	2.87	3.465	2.56	3.46	8.68	6	20.34	17.56	0	25.45	21.93	7.11	5.795	8.58	3.71	7.88	16.96	7.71	5.08	7.04	9.6	2.19	27.855	4.59	2.09	23.93	6.47	2.205	5.77	9.24	5.505	6.43	8.44	18.71	4.36	4.2	16.06	18.52	13.005	2.61
ENSG00000004399.12	PLXND1	ENST00000508630.1	11.19	7.9	4.785	5.83	8.67	4.93	4.65	0	0	0	0	0	3.26	1.99	1.67	1.605	0	0	5.52	2.75	7.82	5.07	0	8.89	11.435	3.88	2.875	4.49	1.84	4.06	5.7	4.19	2.755	3.64	3.31	0	13.91	2.965	0	15.95	3.985	0	3.98	5.73	2.18	2.49	4.1	10.16	1.83	2.33	8.65	10.58	7.84	0
ENSG00000004399.12	PLXND1	ENST00000511018.1	3.68	3.67	0	1.99	2.595	2.25	1.57	0	0	0	0	0	0	0	0	0	0	0	0	0	2.85	2.45	0	2.65	3.195	0	0	0	0	0	3.75	0	0	0	0	0	3.225	0	0	2.78	0	0	0	0	0	0	0	0	0	0	2.05	2.15	0	0
